Sample,Year,Area,Easting,Northing,Temperature,pH,O2,HCO3-,Fe+2,HS-,SiO2,Li+,Na+,NH4+,K+,Mg+2,Ca+2,F-,Cl-,NO2-,Br-,NO3-,SO4-2,HPO4-2,H2,CH4,CO
040711Q,2004.0,Sentinel Meadows,510858.0,4934824.0,93.5,7.573,5.75e-06,0.0023,1.790510295434199e-07,3.494513232791503e-05,0.0056541278295605,BDL,0.0134907836612016,BDL,BDL,BDL,BDL,0.0015556578947368,0.0071314104372355,BDL,7.196135362434922e-06,BDL,0.0001876223193837,9.918775547164724e-06,NM,NM,NM
040711R,2004.0,Sentinel Meadows,511117.0,4934622.0,93.4,8.76,5.75e-06,0.00037,5.371530886302595e-07,8.274162314418166e-06,0.0066877496671105,BDL,0.0133298425051595,BDL,BDL,BDL,BDL,0.0015579210526315,0.006994682651622,BDL,9.999499399279136e-06,BDL,0.0001852956485529,3.5837104644134974e-05,NM,NM,NM
040713U,2004.0,Washburn Springs,545109.78,4957196.4,82.3,5.3,1.621875e-05,1.9e-05,0.0001138764547896,1.0826829411419515e-05,0.0035818908122503,BDL,BDL,0.0495676274944567,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.0279985738080366,1.1571904805025511e-05,NM,NM,NM
040713V,2004.0,Washburn Springs,545086.0,4956963.0,80.1,6.352,NM,0.001251,1.4324082363473592e-06,BDL,0.003375499334221,BDL,0.0014963177750937,0.0227161862527716,0.0002672750477642,0.0001604608105328,0.0003805080093817,2.168421052631579e-05,8.363892806770098e-06,BDL,BDL,BDL,0.0109035082240266,1.6841912407314202e-05,NM,NM,NM
040713W,2004.0,Washburn Springs,545085.57,4957228.22,86.4,6.064,NM,0.00503,1.790510295434199e-07,4.79725368229564e-05,0.0026747669773635,BDL,BDL,0.0563580931263858,BDL,BDL,BDL,BDL,1.777150916784203e-06,BDL,BDL,BDL,0.0303510514261919,0.0006170489220965,NM,NM,NM
040713X,2004.0,Washburn Springs,545123.06,4957224.0,79.8,6.234,NM,0.000466,5.371530886302595e-07,5.521976409835103e-05,0.0018641810918774,BDL,BDL,0.0442627494456762,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.023705496564647,1.259326491975479e-05,NM,NM,NM
040714F,2004.0,Imperial Geyser Basin,512389.01,4933949.14,73.4,8.721,8.750000000000001e-06,0.00205,BDL,5.970893726893962e-05,0.0040579227696404,0.0002017000432214,0.0147683084592977,BDL,5.62684311082579e-05,BDL,BDL,0.001725947368421,0.0082775853314527,BDL,1.1248498197837408e-05,BDL,0.0002070601707266,6.342962197040372e-05,NM,NM,NM
040714B,2004.0,Imperial Geyser Basin,512389.01,4933949.14,82.5,8.71,8.4375e-08,0.00208,8.952551477170994e-07,9.44780235901649e-06,0.0044191078561917,BDL,0.0142302430268003,BDL,BDL,BDL,BDL,0.0017505263157894,0.0083071509167842,BDL,1.10445034040849e-05,BDL,0.0001793722673329,5.608004093864048e-05,NM,NM,NM
040714C,2004.0,Imperial Geyser Basin,512389.01,4933949.14,73.7,8.805,6.25e-08,0.0022,5.371530886302595e-07,1.901296872249281e-05,0.0044357523302263,0.0002045814724103,0.014859653439754,BDL,5.882608706772417e-05,BDL,BDL,0.001754547368421,0.0084045133991537,BDL,1.2434921906287546e-05,BDL,0.0002131750988965,4.491036248807536e-05,NM,NM,NM
040714D,2004.0,Imperial Geyser Basin,512389.01,4933949.14,66.6,8.877,4.0625e-08,0.00216,BDL,9.477143360131449e-06,0.0039330892143808,0.0002161071891658,0.0163089937963274,BDL,4.0922495351460295e-05,BDL,BDL,0.0018123789473684,0.0086795712270803,BDL,1.269773728474169e-05,BDL,0.0002359067249635,3.864531848535454e-05,NM,NM,NM
040714A,2004.0,Imperial Geyser Basin,512382.33,4933938.33,80.4,6.92,3.1875e-06,0.0011699999999999,5.371530886302595e-07,4.107740156094127e-06,0.0042609853528628,6.339144215530903e-05,0.0099296343516979,BDL,0.0001503901704166,BDL,BDL,0.0012297578947368,0.0060384428772919,BDL,8.677913496195435e-06,BDL,0.0004095586092025,4.569586212270221e-05,NM,NM,NM
040719B,2004.0,White Creek,516061.2252,4931216.571,90.9,8.0,1.2e-05,0.00252,BDL,8.802300334487412e-07,0.0053412117177097,4.322143783316525e-05,0.0130753814881741,BDL,BDL,BDL,BDL,0.0012462894736842,0.0068054301833568,BDL,8.68542250700841e-06,BDL,0.0002183791380387,8.686825718058277e-06,NM,NM,NM
040719C,2004.0,White Creek,516075.5388,4931037.563,92.4,8.401,1.2375e-05,0.00254,BDL,6.836453259785225e-06,0.0046587882822902,0.0003169572107765,0.014077566416609,BDL,0.0001642015125977,BDL,BDL,0.0012536526315789,0.0070032891396332,BDL,1.0144673608329995e-05,BDL,0.0001715885904642,6.2229260598453846e-06,NM,NM,NM
050717B,2005.0,GOPA,544551.8,4939855.19,53.5,5.165,3.75e-05,0.00094075,5.550581915846016e-06,1.1736400445983217e-06,0.0058422103861517,0.0002420400518657,0.0139203225573949,BDL,0.0009046429128632,BDL,0.0001433454763211,BDL,0.0084463582510578,BDL,9.455721866239488e-06,BDL,0.0028154653341661,1.5036105606529966e-06,NM,NM,NM
050717C,2005.0,GOPA,544551.8,4939855.19,56.2,4.964,9.6875e-05,0.0012726666666666,6.266786034019695e-06,2.6113490992312656e-06,0.0061584553928095,0.0002420400518657,0.0139666475117692,BDL,0.0009119322323476,BDL,0.0001448425570138,BDL,0.0084376882933709,BDL,9.652833400080096e-06,BDL,0.0027957183010618,BDL,NM,NM,NM
050717D,2005.0,GOPA,544551.8,4939855.19,58.9,4.818,0.000196875,0.0031434166666666,6.087735004476276e-06,1.1736400445983218e-05,0.0061734354194407,0.0002420400518657,0.0137689508754959,BDL,0.0009034919676814,3.252417198107385e-06,0.0001470881780527,BDL,0.0083987559943582,BDL,9.10467561073288e-06,BDL,0.002768521236727,8.513089203697113e-07,NM,NM,NM
050717E,2005.0,GOPA,544478.91,4939776.12,66.6,4.676,7.5e-05,0.0031243333333333,3.401969561324977e-06,3.344874127105217e-06,0.0058838215712383,0.0003889929404984,0.0178100963084927,BDL,0.0009060496236409,BDL,0.0001316183442287,BDL,0.0110076022566995,BDL,1.2098893672406888e-05,BDL,0.0035637960649594,BDL,NM,NM,NM
050717F,2005.0,GOPA,544478.91,4939776.12,40.4,4.956,0.000125,1.8645833333333334e-05,2.8648164726947183e-06,4.107740156094126e-07,0.0065063249001331,0.0004278922345483,0.0184399416975438,BDL,0.0009736996237688,BDL,0.0001527022306502,BDL,0.0112300620592383,BDL,1.3394198037645176e-05,BDL,0.0037868738288569,5.548512499552497e-06,NM,NM,NM
050717G,2005.0,GOPA,544478.91,4939776.12,50.4,5.734,0.00015,0.0004265,1.969561324977619e-06,9.389120356786571e-07,0.0065113182423435,0.0004149258031983,0.0181793910151946,BDL,0.0009463327050025,BDL,0.0001492090423673,BDL,0.011137167842031,BDL,1.2484981978374048e-05,BDL,0.0036275473662294,BDL,NM,NM,NM
050718R,2005.0,GOPA,544545.66,4939787.78,31.1,2.487,0.000246875,0.0038779166666666,2.9364368845120857e-05,8.802300334487414e-08,0.0039747003994673,2.881429188877684e-05,0.0030644066062603,BDL,0.0004928603033891,0.0002209421929644,0.0004408902639852,BDL,0.0008262990126939,BDL,7.922006407689226e-07,BDL,0.0038518686237768,BDL,NM,NM,NM
050718S,2005.0,GOPA,544532.72,4939788.99,76.4,4.666,5.3125e-05,0.0008430833333333,1.1459265890778872e-05,5.252039199577489e-06,0.0043891478029294,2.809393459155741e-05,0.0025915875883746,9.146341463414634e-06,0.0005553310501991,0.0002123019954741,0.0005009606267777,BDL,0.0007806833568406,BDL,7.715508610332399e-07,BDL,0.0019143379138038,BDL,NM,NM,NM
050718U,2005.0,GOPA,544534.15,4939791.93,55.9,4.456,5e-05,0.0027295833333333,1.951656222023277e-05,7.658001291004049e-06,0.0052829560585885,0.0001058925226912,0.0064969117349547,1.164079822616408e-05,0.0007018847366765,0.0001484262497428,0.000393170816907,BDL,0.0033878102961918,BDL,3.813638866639969e-06,BDL,0.0023015092129918,BDL,NM,NM,NM
050718V,2005.0,GOPA,544522.8,4939808.38,57.7,5.449,4.6875e-05,0.0019643333333333,BDL,4.107740156094126e-07,0.006095206391478,0.0002420400518657,0.0138922665991119,BDL,0.0008931334610456,BDL,0.0001440940166674,BDL,0.00842665303244,BDL,9.070885062074488e-06,BDL,0.0026627404747033,BDL,NM,NM,NM
050718W,2005.0,GOPA,544522.8,4939808.38,48.3,6.28,0.00014375,0.0007405833333333,8.952551477170994e-07,2.934100111495804e-07,0.0068558588548601,0.000246362195649,0.0140129724661435,BDL,0.0009027246708936,BDL,0.0001474624482259,BDL,0.008541114245416,BDL,9.727923508209851e-06,BDL,0.0027034166146158,BDL,NM,NM,NM
050721K,2005.0,Sylvan Springs,518350.0,4949524.0,81.6,5.36,7.96875e-06,0.0030948333333333,7.162041181736796e-07,7.393932280969426e-06,0.010983688415446,0.0008730730442299,0.018783137838401,2.7405764966740576e-05,0.0012161654087262,BDL,5.988322770597334e-05,BDL,0.0156332411847672,BDL,1.737960552663196e-05,BDL,0.001787895065584,BDL,NM,NM,NM
050721L,2005.0,Sylvan Springs,518628.87,4949652.95,45.0,2.193,0.00024375,0.0005681666666666,3.5810205908683974e-05,3.990376151634293e-06,0.0049234354194407,0.0001613600345771,0.0053232374801156,0.000130820399113,0.0005391538762554,BDL,4.640950147212935e-05,BDL,0.003825844851904,BDL,3.872146575891069e-06,BDL,0.005862007078909,BDL,NM,NM,NM
050721M,2005.0,Sylvan Springs,518628.87,4949652.95,55.8,2.269,1.6687500000000002e-05,0.002692,6.624888093106535e-05,4.920485886978464e-05,0.0048485352862849,0.0001844114680881,0.0053928336557013,0.0001840354767184,0.0005583362959514,BDL,6.662009082289536e-05,BDL,0.0039272863187588,BDL,4.437825390468563e-06,BDL,0.0055307141369977,BDL,NM,NM,NM
050721O,2005.0,Sylvan Springs,518443.63,4949602.38,48.7,4.022,7.8125e-05,1.7083333333333333e-05,6.087735004476276e-06,7.335250278739511e-07,0.0077230359520639,0.0006973058637083,0.017219833744306,0.0001552106430155,0.0006793134228342,BDL,8.633165327611158e-05,BDL,0.0142039210155148,BDL,1.6862735282338805e-05,BDL,0.0021474724130751,BDL,NM,NM,NM
050721P,2005.0,Sylvan Springs,518580.08,4949717.31,75.0,6.199,2.528125e-05,0.0093660833333333,7.162041181736796e-07,1.8220761692388943e-05,0.0058255659121171,0.0005042501080535,0.0184462488509562,0.0001080931263858,0.0004156190934132,BDL,6.861619841309446e-05,BDL,0.0086533145275035,BDL,9.333074689627554e-06,BDL,0.0022013637310014,BDL,NM,NM,NM
050719N,2005.0,Sentinel Meadows,510707.73,4935151.23,92.8,7.35,5.406249999999999e-06,0.0068305833333333,-1.790510295434199e-07,4.48917317058858e-06,0.0045805592543275,0.0002881429188877,0.0129057408101838,BDL,0.0002578117207141,BDL,1.996107590199112e-06,BDL,0.0061139181946403,BDL,6.8181818181818174e-06,BDL,0.0002097626483447,BDL,NM,NM,NM
050719S,2005.0,Sentinel Meadows,510707.73,4935151.23,79.6,7.678,2.425e-05,0.0067229166666666,1.790510295434199e-07,1.907165072472273e-06,0.00633655126498,0.0002967872064544,0.0132267531700731,BDL,0.0002644616262088,BDL,1.996107590199112e-06,BDL,0.0062858787023977,BDL,6.975871045254306e-06,BDL,0.0002033479075577,3.853791773102218e-07,NM,NM,NM
050719R,2005.0,Sentinel Meadows,510707.73,4935151.23,68.2,7.933,2.8125e-05,0.0066718333333333,1.790510295434199e-07,2.934100111495804e-07,0.0066527962716378,0.0003155164961821,0.0136560745782178,BDL,0.0002796796791676,BDL,1.7714207295773243e-06,BDL,0.00648406629055,BDL,6.885762915498599e-06,BDL,0.000198126171143,1.6031142006962094e-06,NM,NM,NM
050719Q,2005.0,Sentinel Meadows,510707.73,4935151.23,65.6,7.995,5e-05,0.0065656666666666,BDL,4.401150167243706e-07,0.0057989347536617,0.0003176775680737,0.0137572065208658,BDL,0.0002827488663189,BDL,2.245621038974e-06,BDL,0.0065254485190409,BDL,7.557819383259911e-06,BDL,0.0002010743285446,BDL,NM,NM,NM
050719P,2005.0,Sentinel Meadows,510707.73,4935151.23,56.2,8.257,8.75e-05,0.0065620833333333,1.790510295434199e-07,2.053870078047063e-07,0.0058039280958721,0.0003198386399654,0.0138231053996236,BDL,0.0002838998115007,BDL,2.245621038974e-06,BDL,0.0065981466854724,BDL,7.691104325190229e-06,BDL,0.0001894159900062,BDL,NM,NM,NM
050719O,2005.0,Sentinel Meadows,510707.73,4935151.23,57.5,8.225,0.000103125,0.006429,7.162041181736796e-07,5.868200222991609e-08,0.0064147802929427,0.0003198386399654,0.0138094036525551,BDL,0.0002865853502581,BDL,2.994161385298668e-06,BDL,0.0065764992947813,BDL,7.732403884661594e-06,BDL,0.000207401623985,BDL,NM,NM,NM
050723D,2005.0,Washburn Springs,545086.0,4956963.0,81.6,6.186,NM,0.0043400833333333,BDL,0.0001121119652602,0.0025083222370173,BDL,0.0015489498828805,0.0206657427937915,0.0004718875245215,0.0002764863196873,0.0004985278706522,BDL,8.81805359661495e-06,BDL,BDL,BDL,0.0108703216739537,1.622067274990155e-05,NM,NM,NM
050723E,2005.0,Washburn Springs,545109.78,4957196.4,86.6,5.647,7.468749999999999e-06,0.0009305,1.7009847806624888e-05,2.2211137844023235e-05,0.003638482023968,BDL,0.0002870842242912,0.0698115299334811,0.000258323251906,8.228759514503189e-06,3.992215180398224e-05,BDL,2.708039492242595e-06,BDL,BDL,BDL,0.0337716531334582,BDL,NM,NM,NM
050723F,2005.0,Washburn Springs,545111.49,4957223.56,83.3,2.73,2.2e-05,0.0005070833333333,0.0004091316025067,7.892729299923713e-06,0.0055026631158455,BDL,0.0003131827901359,0.0834146341463414,0.0005064158799743,4.459987656860729e-05,1.996107590199112e-05,BDL,4.485190409026797e-06,BDL,BDL,BDL,0.0493021965438267,2.6544833497242324e-05,NM,NM,NM
050723G,2005.0,Washburn Springs,545085.57,4957228.22,78.6,5.85,NM,0.00195625,8.952551477170994e-07,7.367525379965965e-05,0.0018375499334221,BDL,9.56947414304163e-05,0.0559090909090909,BDL,BDL,0.0001422226658016,BDL,1.3258110014104369e-06,BDL,BDL,BDL,0.0300616489693941,BDL,NM,NM,NM
050723H,2005.0,Washburn Springs,545171.3,4957204.94,81.8,3.083,1.98125e-05,0.0001026666666666,0.0003190689346463,1.9746493750366765e-05,0.0065229693741677,BDL,0.0009460730118688,0.0416283259423503,0.0001419499057503,0.0004474387986011,0.0007316981885323,BDL,3.44851904090268e-06,BDL,BDL,BDL,0.0261679341036851,BDL,NM,NM,NM
050722F,2005.0,Imperial Geyser Basin,512389.01,4933949.14,92.8,8.378,9.6875e-07,0.0034934166666666,BDL,4.820726483187606e-05,0.0059087882822902,0.0003241607837487,0.0141606468512145,BDL,0.0001764782612031,BDL,1.4970806926493336e-05,BDL,0.0081860578279266,BDL,9.426937324789748e-06,BDL,0.00020756818655,BDL,NM,NM,NM
050722G,2005.0,Imperial Geyser Basin,512389.01,4933949.14,81.9,8.479,1.265625e-05,0.0035324166666666,BDL,4.0549263540872015e-05,0.0047486684420772,0.0003400086442875,0.0142724357082491,BDL,0.0001861973538491,BDL,1.696691451669245e-05,BDL,0.0083884344146685,BDL,1.036744092911494e-05,BDL,0.0002199708515511,BDL,NM,NM,NM
050722H,2005.0,Imperial Geyser Basin,512389.01,4933949.14,66.9,8.66,2.8125e-05,0.0036496666666666,8.952551477170994e-07,9.829235373510945e-06,0.0046238348868175,0.000351534361043,0.0147491695110116,BDL,0.0001933587905356,BDL,1.5968860721592893e-05,BDL,0.0085685585331452,BDL,1.0237284741690028e-05,BDL,0.000245132209036,BDL,NM,NM,NM
050722J,2005.0,Imperial Geyser Basin,511911.0,4932627.0,74.7,8.0,7.1875e-05,0.0080930833333333,BDL,4.694560178393287e-07,0.0050848868175765,0.000374585794554,0.0175523729707766,BDL,0.0002493714560479,BDL,BDL,BDL,0.0087162976022566,BDL,9.636563876651984e-06,BDL,0.0002870705808869,BDL,NM,NM,NM
050722K,2005.0,Imperial Geyser Basin,511911.0,4932627.0,58.8,8.336,4.375e-05,0.0081193333333333,1.790510295434199e-07,BDL,0.0061517976031957,0.0003918743696873,0.0176669891724444,BDL,0.0002639500950169,BDL,2.5150955636508804e-06,BDL,0.0087157630465444,BDL,1.012715258309972e-05,BDL,0.0003008723714345,BDL,NM,NM,NM
050722L,2005.0,Imperial Geyser Basin,511911.0,4932627.0,49.8,8.691,0.000109375,0.00821075,BDL,BDL,0.0056491344873501,0.0004019593718484,0.0177391952046147,BDL,0.0002804469759554,BDL,1.4970806926493336e-06,BDL,0.0087381791255289,BDL,1.0424384261113336e-05,BDL,0.0002738319800124,BDL,NM,NM,NM
060804C,2006.0,GOPA,544551.8,4939855.19,56.0,4.938,6.562500000000001e-05,0.0017374816666666,5.550581915846016e-06,4.899947186197993e-06,0.0059004660452729,0.0002362771934879,0.0133555060949068,BDL,0.0008793221188645,BDL,0.0001202654823094,0.0010551684210526,0.0078390296191819,BDL,8.615338406087306e-06,BDL,0.0028270164480533,4.043322516041673e-07,NM,NM,NM
060804D,2006.0,GOPA,544551.8,4939855.19,56.7,4.775,3.75e-05,0.0031288896666666,5.192479856759177e-06,1.1941787453787924e-05,0.0067659786950732,0.0002420400518657,0.0136512898411462,BDL,0.0008951795858131,BDL,0.0001222615898996,0.0010614631578947,0.0078765472496473,BDL,8.677913496195435e-06,BDL,0.0028190047886737,4.0854404589171053e-07,NM,NM,NM
060804E,2006.0,GOPA,544532.72,4939788.99,85.3,4.18,9.375e-06,0.0007228892666666,2.2381378692927485e-05,2.317939088081685e-06,0.00383655126498,2.1610718916582625e-05,0.0024754489703659,4.9889135254988913e-05,0.0005656895568349,0.0002879037235136,0.0004045860571884,0.0003329605263157,0.0007244978843441,BDL,6.983380056067281e-07,BDL,0.0016918558713304,7.292985046024383e-06,NM,NM,NM
060810 XIII,2006.0,GOPA,544522.8,4939808.38,59.9,5.5,6.875e-05,0.0012691164666666,2.3276633840644587e-06,BDL,0.0070955392809587,0.0002506843394323,0.0133011340827304,BDL,0.0008992718353483,6.171569635877391e-06,0.0001493337990917,0.0010898368421052,0.0076184471086036,BDL,8.826842210652784e-06,BDL,0.002643093379138,BDL,NM,NM,NM
060810 XIV,2006.0,GOPA,544478.91,4939776.12,36.0,2.783,0.0004093749999999,3.253324166666667e-05,1.0205908683974933e-05,2.2592570858517693e-06,0.0071504660452729,0.0004034000864428,0.0178314101372658,BDL,0.0009688400774458,BDL,0.0001252557512849,0.0011846105263157,0.0103075655853314,BDL,1.1684020824989989e-05,BDL,0.0050481324172392,9.834539661413855e-07,NM,NM,NM
060810 XV,2006.0,GOPA,544478.91,4939776.12,57.7,2.748,8.75e-05,0.0006115087333333,2.8648164726947183e-06,3.1981691215304263e-06,0.0072070572569906,0.0003817893675262,0.0171935176904126,BDL,0.0009092466935902,BDL,0.0001066669993512,0.0011160131578947,0.0096629901269393,BDL,1.031550360432519e-05,BDL,0.0046381194045388,BDL,NM,NM,NM
060805J,2006.0,Sylvan Springs,518628.87,4949652.95,36.7,2.3,0.000125,0.0007914792666666,3.3661593554162934e-05,3.7849891438295873e-06,0.0037866178428761,0.0001498343178216,0.0051901347943078,0.0001396895787139,0.000541200001023,BDL,4.042117870153201e-05,0.0001423368421052,0.0036685472496473,BDL,3.5067080496595914e-06,BDL,0.0056698979804288,BDL,NM,NM,NM
060805K,2006.0,Sylvan Springs,518628.87,4949652.95,52.1,2.17,1.7749999999999998e-05,0.0056945306,6.445837063563115e-05,7.79003579602136e-05,0.0039280958721704,0.0001555971761993,0.0053040985318295,0.0001529933481152,0.0005417115322149,BDL,4.042117870153201e-05,0.000137947368421,0.0037872214386459,BDL,3.6168402082499e-06,BDL,0.005369541952946,BDL,NM,NM,NM
060805L,2006.0,Sylvan Springs,518580.08,4949717.31,73.0,6.19,2.134375e-05,0.00791469885,BDL,2.758054104806056e-05,0.0048185752330226,0.000482639389137,0.0177926972645962,0.0001080931263858,0.0004092249535146,BDL,5.863566046209891e-05,0.0009350921052631,0.008175119887165,BDL,8.729225070084102e-06,BDL,0.001888783052259,BDL,NM,NM,NM
060805M,2006.0,Sylvan Springs,518580.08,4949717.31,24.0,8.69,0.00015,0.0056848526625,1.790510295434199e-07,1.2029810457132798e-06,0.0045522636484687,0.0006018585218268,0.0199464814109267,0.0001347006651884,0.0005186926285797,BDL,9.974300114776188e-05,BDL,0.0092520698166431,BDL,1.1132108530236284e-05,BDL,0.0021535290443472,BDL,NM,NM,NM
060810S,2006.0,Sylvan Springs,518350.0,4949524.0,80.7,5.362,1.85e-05,0.0019604428666666,1.2533572068039392e-06,1.2675312481661874e-05,0.0092177097203728,0.0008874801901743,0.0190850112500042,8.53658536585366e-05,0.0012469851630377,BDL,5.763760666699935e-05,0.001071147368421,0.015358335684062,BDL,1.7393997797356828e-05,BDL,0.0018836674994794,BDL,NM,NM,NM
060810T,2006.0,Sylvan Springs,518358.0,4949594.0,87.7,2.026,2.38125e-05,0.0005603379333333,0.0001704565801253,1.901296872249281e-05,0.0073318908122503,BDL,0.0006785627119611,0.0015631929046563,0.0006892882810761,BDL,BDL,1.2526315789473684e-05,0.0001311565585331,BDL,BDL,BDL,0.0134135175931709,BDL,NM,NM,NM
060807B,2006.0,Sentinel Meadows,510707.73,4935151.23,93.2,7.52,1.2375e-05,0.0052976166458333,7.162041181736796e-07,7.012499266474971e-06,0.0063082556591211,0.0002845411324016,0.0131003926137752,BDL,0.0002570444239263,BDL,BDL,0.0013922105263157,0.0059279901269393,BDL,6.285667801361634e-06,BDL,0.0002058400999375,BDL,NM,NM,NM
060807A,2006.0,Sentinel Meadows,510707.73,4935151.23,81.0,7.83,2.6e-05,0.0052711348958333,BDL,2.4939850947714337e-06,0.0052247003994673,0.0002996686356432,0.0132545916403074,BDL,0.0002716230628953,BDL,BDL,0.0014479789473684,0.0061799548660084,BDL,7.09851822186624e-06,BDL,0.0002055319591921,BDL,NM,NM,NM
060807Z,2006.0,Sentinel Meadows,510707.73,4935151.23,73.5,8.0,1.65625e-05,0.0052470023333333,5.371530886302595e-07,8.215480312188252e-07,0.0049633821571238,0.000305431494021,0.0132746005407883,BDL,0.0002803190931575,BDL,2.994161385298668e-06,0.0014306210526315,0.006276677009873,BDL,7.176111333600321e-06,BDL,0.0002142098688319,1.7689536007682317e-07,NM,NM,NM
060807Y,2006.0,Sentinel Meadows,510707.73,4935151.23,71.1,8.135,3.125e-05,0.0050987397083333,3.581020590868398e-07,4.987970189542867e-07,0.0062583222370173,0.000305431494021,0.0134799092587663,BDL,0.000282365217925,BDL,1.996107590199112e-06,0.0014702210526315,0.0063462059238363,BDL,7.213656387665199e-06,BDL,0.0002190963980845,BDL,NM,NM,NM
060807X,2006.0,Sentinel Meadows,510707.73,4935151.23,65.6,8.162,1.6875e-05,0.0051474068333333,5.371530886302595e-07,7.335250278739511e-07,0.0061318242343541,0.0003111943523987,0.0134964383504679,BDL,0.0002849228738845,BDL,2.994161385298668e-06,0.0014756105263157,0.0063109675599435,BDL,7.203644373247898e-06,BDL,0.0002143243805954,BDL,NM,NM,NM
060807C,2006.0,Sentinel Meadows,510836.0,4935026.0,94.3,7.945,2.03125e-05,0.0043305930833333,3.581020590868398e-07,1.2000469456017838e-05,0.0053012649800266,0.0002305143351102,0.0126904276419654,BDL,0.0001943818529194,BDL,1.2475672438744448e-06,0.0014431578947368,0.0059959308885754,BDL,6.661118342010412e-06,BDL,0.0001945893191755,BDL,NM,NM,NM
